platform,design,arm,arm_witnessed,seed,clk_period,gp_hpwl_final,gp_iterations,gp_segments,diverge_revert,ip_iterations,ip_residual,ip_converged,ip_hit_cap,ip_hpwl_first,ip_hpwl_last,src_odb_3_1,src_core_3_1,src_odb_3_3,src_core_3_3,min_period_wns,setup_ws,setup_tns,hold_ws,wirelength,grt_usage_pct,grt_overflow,grt_max_layer_usage_pct,grt_congested,drc,place_area,place_instances,gp_wall_s,serial,cores,loadavg_at_start,status,place_gp_sha1,skip_io_sha1,grt_sha1
asap7,ethmac,spread,spread,1,1000.0,150426.3,464,4,False,20,4.602e-05,False,True,176597372,71579874,,,,,1087.1834,-87.1834,-1867.98,25.6626,291415,20.93,0,44.7,False,0,7576.23,59757,46.74,False,4,20.5869140625,0,bfc05aea9f50abbcca50,c3f9b9f30ecad64c1e7c,195e7116af681d1d16fe
asap7,ethmac,spread,spread,2,1000.0,153080.3,466,4,False,20,0.00019364,False,True,175370452,71100902,,,,,1089.3406,-89.3406,-1754.6,26.8416,295252,21.38,0,43.37,False,0,7577.46,59769,46.39,False,4,18.67822265625,0,5bacdbe60058a738d049,dc2f4a3626b0f1b39c74,10d2fb0ee4167390b7ac
asap7,ethmac,spread,spread,3,1000.0,150805.7,465,4,False,20,7.459e-05,False,True,176489357,71373211,,,,,1086.6887,-86.6887,-1823.95,28.3401,293390,21.13,0,44.55,False,0,7573.73,59727,45.29,False,4,18.083984375,0,1bc7b7c4a38501bc7f71,18c14894027e435238c1,d986ccd9aa32bfe24a8e
asap7,ethmac,spread,spread,4,1000.0,151022.4,477,4,False,20,3.258e-05,False,True,177350035,69888394,,,,,1082.4074,-82.4074,-1499.28,27.3593,294153,21.22,0,44.3,False,0,7576.35,59759,45.23,False,4,18.083984375,0,090db0a5c023f4969278,3b2890d809fb030069c8,68d73479f863d9b8ec74
asap7,ethmac,spread,spread,5,1000.0,150804.7,466,4,False,20,0.00011214,False,True,176162369,71583378,,,,,1088.8189,-88.8189,-1620.85,26.2097,292256,21.01,0,44.37,False,0,7576.5,59764,42.92,False,4,15.3037109375,0,de5a952fde4fb378fd3f,d260f595ac93c070edeb,98aa21190628a6e8594b
asap7,ethmac,spread,spread,6,1000.0,149280.2,465,4,False,20,0.00011368,False,True,176627604,71581921,,,,,1086.5117,-86.5117,-1671.45,25.8222,291117,20.9,0,43.73,False,0,7575.62,59750,43.78,False,4,12.3857421875,0,5e02b36c8c5006f6481d,6d79218a3afddfe63e39,1e80145e9c34d84c5b30
asap7,ethmac,spread,spread,7,1000.0,152275.7,467,4,False,20,0.00017024,False,True,176187891,71412038,,,,,1087.7829,-87.7829,-1908.72,19.685,295326,21.33,0,44.56,False,0,7576.76,59761,46.66,False,4,20.05517578125,0,1f19f13c3e31a832a6b4,24d3529f60962189a976,c08ad4e79908ca4a62d0
asap7,ethmac,spread,spread,8,1000.0,152113.5,466,4,False,20,0.00017312,False,True,176562122,71527076,,,,,1084.624,-84.624,-1562.72,25.9561,294311,21.23,0,44.78,False,0,7578.95,59786,44.97,False,4,19.58154296875,0,51e8aec036fd5105646b,04c0eee3918230b46fa8,929f4cb84503fd3d9035
asap7,gcd,anchored,anchored,1,310.0,522.617,325,4,False,5,1.1e-07,True,False,732217,647084,,,,,359.8101,-49.8101,-168.523,44.0397,12123,12.18,0,23.56,False,0,43.9004,410,1.24,False,4,5.09716796875,0,f96b393f448bec4cc947,44c347fa8ca23e8e8614,6e9875888227d20f97c7
asap7,gcd,anchored,anchored,2,310.0,527.169,322,4,False,5,9e-08,True,False,730342,644744,,,,,358.1478,-48.1478,-157.848,43.9259,12448,12.49,0,20.74,False,0,44.2211,413,1.22,False,4,5.09716796875,0,6e98444a602515730d65,c1afea4a45a88a9c3f9f,b4140998cd0975e6b4b0
