platform,design,events_eligible,events_moved,responsiveness,solo_moves,solo_per_year,years_in_fleet,instances
sky130hd,ibex,103,26,0.2524271844660194,1,0.23610092669703506,4.235476810657338,18240.869565217392
ihp-sg13g2,gcd,72,18,0.25,1,0.3800180009287306,2.631454293102137,385.21739130434787
intel16,aes,48,12,0.25,2,0.7177608987777702,2.78644323395949,11291.304347826088
asap7,ethmac,103,25,0.24271844660194175,2,0.4722018533940701,4.235476810657338,59698.26086956522
sky130hd,riscv32i,103,25,0.24271844660194175,1,0.23610092669703506,4.235476810657338,7273.913043478261
gf180,jpeg,83,20,0.24096385542168675,4,1.204321771737851,3.3213714921286788,42406.956521739135
nangate45,gcd,104,25,0.2403846153846154,2,0.4667900371975345,4.284581590488504,711.304347826087
sky130hd,chameleon,105,25,0.23809523809523808,3,0.6966084662245575,4.306579872994144,51709.56521739131
intel16,gcd,47,11,0.23404255319148937,1,0.3716896172622582,2.6904168251071057,434.7826086956522
sky130hd,aes,103,24,0.23300970873786409,1,0.23610092669703506,4.235476810657338,17698.26086956522
gf55,aes,26,6,0.23076923076923078,0,0.0,1.4895207176718128,19768.695652173916
intel22,jpeg,26,6,0.23076923076923078,1,0.7673441912040349,1.3031961556011864,68157.39130434782
rapidus2hp,gcd,39,9,0.23076923076923078,0,0.0,0.7311700509544452,437.3913043478261
rapidus2hp,hercules_is_int,39,9,0.23076923076923078,7,9.573696284280834,0.7311700509544452,463900.00000000006
rapidus2hp,jpeg,39,9,0.23076923076923078,1,1.3631902771741613,0.7335733072223489,93317.39130434784
sky130hd,jpeg,104,24,0.23076923076923078,0,0.0,4.257375877760032,44881.739130434784
tsmc65lp,jpeg,26,6,0.23076923076923078,0,0.0,1.3031961556011864,64414.782608695656
tsmc65lp,swerv,26,6,0.23076923076923078,0,0.0,1.3031961556011864,80286.95652173914
tsmc65lp,bp_be_top,31,7,0.22580645161290322,2,0.9676806273696716,2.066797601845514,43251.30434782609
tsmc65lp,gcd,31,7,0.22580645161290322,0,0.0,1.9473862397647477,549.5652173913044
asap7,ethmac_lvt,80,18,0.225,1,0.3273911606668988,3.0544502116764267,56361.739130434784
sky130hs,gcd,103,23,0.22330097087378642,2,0.4722018533940701,4.235476810657338,621.7391304347826
sky130hd,microwatt,105,23,0.21904761904761905,7,1.6254197545239675,4.306579872994144,123897.39130434784
nangate45,jpeg,104,22,0.21153846153846154,1,0.23488647202232427,4.257375877760032,59184.34782608696
sky130hs,riscv32i,104,22,0.21153846153846154,1,0.23488647202232427,4.257375877760032,7119.130434782609
asap7,gcd,105,22,0.20952380952380953,0,0.0,4.30765771161305,411.304347826087
nangate45,dynamic_node,105,22,0.20952380952380953,1,0.23236918607990348,4.3034965903617515,13006.08695652174
nangate45,tinyRocket,105,22,0.20952380952380953,0,0.0,4.3034965903617515,27524.34782608696
asap7,jpeg_lvt,82,17,0.2073170731707317,1,0.310946982030036,3.215982330722235,49218.26086956522
tsmc65lp,black_parrot,29,6,0.20689655172413793,3,1.650232203132887,1.817925982964484,157735.65217391305
tsmc65lp,ibex,29,6,0.20689655172413793,0,0.0,1.7628468578092125,13538.260869565218
ihp-sg13g2,jpeg,77,15,0.19480519480519481,1,0.3612493598525945,2.768170995259462,75987.82608695653
ihp-sg13g2,spi,77,15,0.19480519480519481,3,1.0837480795577834,2.768170995259462,154.7826086956522
nangate45,swerv,103,20,0.1941747572815534,2,0.4722018533940701,4.235476810657338,84965.21739130435
tsmc65lp,ariane,31,6,0.1935483870967742,1,0.4838403136848358,2.066797601845514,153959.13043478262
nangate45,ariane133,83,16,0.1927710843373494,3,0.8976357020395372,3.342113056759703,163422.6086956522
asap7,jpeg,104,20,0.19230769230769232,2,0.4667900371975345,4.284581590488504,58442.608695652176
tsmc65lp,dynamic_node,26,5,0.19230769230769232,0,0.0,1.3031961556011864,9846.08695652174
tsmc65lp,tinyRocket,26,5,0.19230769230769232,1,0.7673441912040349,1.3031961556011864,26987.826086956524
nangate45,black_parrot,103,19,0.18446601941747573,3,0.7083027800911051,4.235476810657338,210781.7391304348
nangate45,bp_be_top,103,19,0.18446601941747573,3,0.7083027800911051,4.235476810657338,54424.34782608696
gf12,ariane,105,19,0.18095238095238095,9,2.087988777993236,4.310367993763784,187942.6086956522
nangate45,bp_fe_top,105,19,0.18095238095238095,6,1.3853684599431246,4.33097776763759,33713.913043478264
sky130hs,ibex,105,19,0.18095238095238095,3,0.6952601492238102,4.314931617106497,16900.869565217392
asap7,mock-alu,78,14,0.1794871794871795,2,0.669560572231396,2.9870337097878163,12860.869565217392
ihp-sg13g2,ibex,78,14,0.1794871794871795,3,1.069761566611626,2.804363227875377,17580.0
rapidus2hp,cva6,39,7,0.1794871794871795,1,1.3676708977544048,0.7311700509544452,99366.95652173914
rapidus2hp,ethmac,39,7,0.1794871794871795,1,1.3676708977544048,0.7311700509544452,40007.82608695653
gf180,uart-blocks,79,14,0.17721518987341772,0,0.0,3.1298736279057975,653.9130434782609
ihp-sg13g2,riscv32i,79,14,0.17721518987341772,1,0.3492020094054025,2.863671952239714,11240.869565217392
asap7,aes,103,18,0.17475728155339806,0,0.0,4.235476810657338,12453.04347826087
ihp-sg13g2,i2c-gpio-expander,63,11,0.1746031746031746,2,1.2352856349467431,1.6190587370395721,851.304347826087
nangate45,mempool_group,53,9,0.16981132075471697,2,1.6023250712875632,1.248186173853525,163726.95652173914
