   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |   Area   |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |          |            | Endpts | Endpt
--------------------------------------------------------------------------------------------------------------
      318 |       0 |      88 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14225.0 |    560 | pp_row17_8$_DFF_P_/D
      320 |       0 |      88 |        0 |      0 |    32 |    +0.1% |  -26.614 |   -14225.0 |    560 | pp_row17_8$_DFF_P_/D
      323 |       0 |      88 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14225.0 |    560 | pp_row17_8$_DFF_P_/D
      327 |       0 |      89 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14231.7 |    560 | pp_row17_8$_DFF_P_/D
      330 |       0 |      90 |        0 |      0 |    32 |    +0.1% |  -26.742 |   -14238.5 |    560 | pp_row14_1$_DFF_P_/D
      330 |       0 |      89 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14231.7 |    560 | pp_row17_8$_DFF_P_/D
      334 |       0 |      89 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14231.7 |    560 | pp_row17_8$_DFF_P_/D
      338 |       0 |      89 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14231.7 |    560 | pp_row17_8$_DFF_P_/D
      340 |       0 |      90 |        0 |      0 |    31 |    +0.1% |  -26.735 |   -14239.2 |    560 | pp_row14_4$_DFF_P_/D
      342 |       0 |      89 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14231.7 |    560 | pp_row17_8$_DFF_P_/D
      346 |       0 |      89 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14231.7 |    560 | pp_row17_8$_DFF_P_/D
      350 |       0 |      90 |        0 |      0 |    33 |    +0.1% |  -26.659 |   -14237.5 |    560 | pp_row18_6$_DFF_P_/D
      350 |       0 |      89 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14231.7 |    560 | pp_row17_8$_DFF_P_/D
      354 |       0 |      90 |        0 |      0 |    31 |    +0.1% |  -26.614 |   -14239.2 |    560 | pp_row17_8$_DFF_P_/D
      360 |       0 |      93 |        0 |      0 |    33 |    +0.1% |  -26.614 |   -14214.7 |    560 | pp_row19_9$_DFF_P_/D
      363 |       0 |      96 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14202.8 |    560 | pp_row19_9$_DFF_P_/D
      367 |       0 |      97 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14209.6 |    560 | pp_row19_9$_DFF_P_/D
      370 |       0 |      98 |        0 |      0 |    34 |    +0.2% |  -26.742 |   -14216.4 |    560 | pp_row14_1$_DFF_P_/D
      370 |       0 |      97 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14209.6 |    560 | pp_row19_9$_DFF_P_/D
      374 |       0 |      97 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14209.6 |    560 | pp_row19_9$_DFF_P_/D
      378 |       0 |      97 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14209.6 |    560 | pp_row19_9$_DFF_P_/D
      380 |       0 |      98 |        0 |      0 |    33 |    +0.2% |  -26.735 |   -14217.1 |    560 | pp_row14_4$_DFF_P_/D
      382 |       0 |      97 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14209.6 |    560 | pp_row19_9$_DFF_P_/D
      386 |       0 |      97 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14209.6 |    560 | pp_row19_9$_DFF_P_/D
      390 |       0 |      98 |        0 |      0 |    35 |    +0.2% |  -26.659 |   -14215.5 |    560 | pp_row17_6$_DFF_P_/D
      390 |       0 |      97 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14209.6 |    560 | pp_row19_9$_DFF_P_/D
      394 |       0 |      98 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14217.1 |    560 | pp_row19_9$_DFF_P_/D
      398 |       0 |      99 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14224.7 |    560 | pp_row19_9$_DFF_P_/D
      400 |       0 |      99 |        0 |      0 |    34 |    +0.2% |  -26.614 |   -14224.7 |    560 | pp_row19_9$_DFF_P_/D
      403 |       0 |      99 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14224.7 |    560 | pp_row19_9$_DFF_P_/D
      407 |       0 |      99 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14224.7 |    560 | pp_row19_9$_DFF_P_/D
      410 |       0 |     100 |        0 |      0 |    34 |    +0.2% |  -26.742 |   -14231.5 |    560 | pp_row14_1$_DFF_P_/D
      410 |       0 |      99 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14224.7 |    560 | pp_row19_9$_DFF_P_/D
      414 |       0 |      99 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14224.7 |    560 | pp_row19_9$_DFF_P_/D
      418 |       0 |      99 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14224.7 |    560 | pp_row19_9$_DFF_P_/D
      420 |       0 |     100 |        0 |      0 |    33 |    +0.2% |  -26.735 |   -14232.2 |    560 | pp_row14_4$_DFF_P_/D
      422 |       0 |      99 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14224.7 |    560 | pp_row19_9$_DFF_P_/D
      426 |       0 |      99 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14224.7 |    560 | pp_row19_9$_DFF_P_/D
      430 |       0 |     100 |        0 |      0 |    35 |    +0.2% |  -26.659 |   -14230.5 |    560 | pp_row17_6$_DFF_P_/D
      430 |       0 |      99 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14224.7 |    560 | pp_row19_9$_DFF_P_/D
      434 |       0 |      99 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14224.7 |    560 | pp_row19_9$_DFF_P_/D
      438 |       0 |     100 |        0 |      0 |    33 |    +0.2% |  -26.614 |   -14232.2 |    560 | pp_row19_9$_DFF_P_/D
      440 |       0 |     101 |        0 |      0 |    33 |    +0.2% |  -26.919 |   -14239.8 |    560 | pp_row20_9$_DFF_P_/D
      447 |       0 |     106 |        0 |      0 |    35 |    +0.2% |  -26.614 |   -14195.8 |    560 | pp_row21_10$_DFF_P_/D
