design,stage,substep,arm,repeat,call,setup_s,hold_s,passes,last_improving_iter,wns_start_ps,wns_end_ps,endpoints,substep_wall_s,result_sha1,loadavg_at_start,recorded_at
jpeg_lvt,full,2_1_floorplan,base-p00670068,1,floorplan_setup,0.35,,0,,,,,12.63,e90ce24809fd3089783b,0.96,2026-09-12T21:27:48
jpeg_lvt,full,4_1_cts,base-p00670068,1,setup_hold,1.61,0.32,0,,,,,32.15,e7adc973d7ce821e00c2,0.96,2026-09-12T21:27:48
jpeg_lvt,full,5_1_grt,base-p00670068,1,setup_hold,1.29,0.46,0,,,,,87.18,0714b114d977ef39de5c,0.96,2026-09-12T21:27:48
jpeg_lvt,full,5_1_grt,base-p00670068,1,post_grt_wns,1.3,,0,,,,,87.18,0714b114d977ef39de5c,0.96,2026-09-12T21:27:48
jpeg_lvt,full,2_1_floorplan,base-p0069,1,floorplan_setup,0.35,,0,,,,,12.56,e90ce24809fd3089783b,0.82,2026-09-13T04:08:59
jpeg_lvt,full,4_1_cts,base-p0069,1,setup_hold,1.63,0.32,0,,,,,31.96,e7adc973d7ce821e00c2,0.82,2026-09-13T04:08:59
jpeg_lvt,full,5_1_grt,base-p0069,1,setup_hold,1.3,0.47,0,,,,,86.93,0714b114d977ef39de5c,0.82,2026-09-13T04:08:59
jpeg_lvt,full,5_1_grt,base-p0069,1,post_grt_wns,1.32,,0,,,,,86.93,0714b114d977ef39de5c,0.82,2026-09-13T04:08:59
jpeg_lvt,full,2_1_floorplan,base-p0074,1,floorplan_setup,0.34,,0,,,,,12.38,e90ce24809fd3089783b,0.82,2026-09-13T00:48:36
jpeg_lvt,full,4_1_cts,base-p0074,1,setup_hold,1.58,0.32,0,,,,,31.58,e7adc973d7ce821e00c2,0.82,2026-09-13T00:48:36
jpeg_lvt,full,5_1_grt,base-p0074,1,setup_hold,1.29,0.48,0,,,,,85.7,0714b114d977ef39de5c,0.82,2026-09-13T00:48:36
jpeg_lvt,full,5_1_grt,base-p0074,1,post_grt_wns,1.32,,0,,,,,85.7,0714b114d977ef39de5c,0.82,2026-09-13T00:48:36
